S/NO,County,Subcounty,Education zone,,,School Name/Learning Institution,GPS Cordinate (Latitudes),GPS Cordinate (Longtitudes),Type of school2_Boys; Girls; Mixed,TSC Code,KNEC Code,MOE Code/ Nemis Code,Sponsor, Land area_ acres,"Level_ Pre primary, Primary, Secondary, Special needs, technical colleges,  Diploma Teacher colleges, Certificate Teacher colleges,  University","Type of school1_ Public, Private, Informal","Type of school1_ Public, Private, Informal","Registered, Not registered",,Type of school3_Day; Boarding; Both,"Type of school4_Regular, Integrated, Special Needs School",Enrolment,,,TSC Teachers,,County government (e.g. for Pre primary),,BOM/PTA,,"Total Human resources (Teaching staff , Tsc, BOM/PTA, County)",,,Human resources: Curriculum support, Human resources: Non-Teaching staff,"Infrastructure ( No of classrooms, Labs, Boys toilets, Girls Toilets)",,,,,,,,KCPE (for primary),KCSE (Secondary),PRINCIPALS'CONTACTS 
,,,,Constituency,Ward,,,,,,,,,,,,,,,,,Boys,Girls,Total,Male,female,Male,female,Male,female,TSC,BOM/PTA,Total,,,Classrooms: Permanent,temporary,Laboratories: Permanent,temporary,Boys Toilets: Permanent,temporary,Girls Toilets: Permanent,temporary,,,
286,MAKUENI,Mbooni East,Kiteta,Mbooni,Kisau/Kiteta,Utuneni,-1.594309,37.50261,Mixed,3017,18346107,TQJF,CEB,0.618 Ha,Secondary,Public,Public,Registered,,Day& Boarding,Regular,130,131,261,4,6,0,0,2,2,10,4,14,SCQASO,8,8,0,1,0,8,0,6,0,N/A,3.46,714540065
287,MAKUENI,Mbooni East,Katangini,Mbooni,Kalawa,Ndauni,-1.711301,37.737683,Mixed,,,Q5QS,,2.92 Ha,Secondary,Public,Public,Registered,,Day,Regular,140,102,242,11,2,0,0,0,0,13,0,13,SQASO,7,8,0,1,0,4,0,4,0,N/A,3.83,723121029
288,MAKUENI,Mbooni East,Waia,Mbooni,Waia/Kako,Watuka,-1.742961,37.652908,Mixed,3319,18346126,YXHT,CEB,21 Acres,Secondary,Public,Public,Registered,,Day,Regular,59,25,84,4,2,0,0,1,2,6,3,9,SCQASO,3,5,0,1,0,3,0,3,0,N/A,2.79,722447420
289,MAKUENI,Mbooni East,Kisau,Mbooni,Kisau/Kiteta,Muthwani,-1.617058,37.534049,Mixed,,,7YVQ,,1.52Ha,Secondary,Public,Public,Registered,,Day&Boarding,Regular,161,144,305,8,1,0,0,3,1,9,4,13,SCQASO,8,7,0,2,0,6,0,6,0,N/A,2.98,720789841
291,MAKUENI,Mbooni East,Kiteta,Mbooni,Kisau/Kiteta,Yangua,-1.551632,37.544688,Mixed,,,RTV6,,2.4 Ha,Secondary,Public,Public,,,Day,Regular,72,62,134,4,2,0,0,1,0,6,1,7,SQASO,3,4,0,0,0,4,0,3,0,N/A,2.17,720949952
292,MAKUENI,Mbooni East,Waia,Mbooni,Waia/Kako,Mukuku,-1.582726,37.611443,Mixed,3176,18346118,LK9C,CEB,2Ha,Secondary,Public,Public,Registered,,Day,Regular,79,88,167,4,3,0,0,3,0,7,3,10,QASO,4,4,0,1,0,10,0,4,0,N/A,4,716251679
293,MAKUENI,Mbooni East,Waia,Mbooni,Waia,Nduluku,-1.605612,37.587157,Boys,,18346106,,,3.5 Ha,Secondary,Public,Public,Registered,,Boarding,Regular,372,0,372,11,8,0,0,3,1,19,4,23,"MOE&TSC, TSC",17,11,0,2,0,56,0,0,0,N/A,4.8,724800376
294,MAKUENI,Mbooni East,Kisau,Mbooni,Kisau/Kiteta,Ngoni,0,0,Mixed,,18346116,CYCY,,6 Ha,Secondary,public,public,Registered,,Day,Regular,80,66,146,3,5,0,0,0,0,8,0,8,SCQASO,5,6,0,1,0,4,0,8,0,N/A,3.73,717580675
295,MAKUENI,Mbooni East,Kiteta,Mbooni,Kisau/Kiteta,Kiteta Girls,-1.53693,37.491883,Girls,,18346104,NM9Q,,1.5 Ha,Secondary,public,public,,,Boarding,Regular,0,651,651,11,6,0,0,10,4,17,14,31,SCDQASO,16,13,0,3,0,0,0,52,0,N/A,5.36,726931973
296,MAKUENI,Mbooni East,Kisau,Mbooni,Kisau/Kiteta,Lungu,-1.645257,37.560587,mixed,,18346112,J5HP,,2 Ha,Secondary,public,public,Registered,,Day,Regular,110,126,236,9,3,0,0,0,1,12,1,13,SCQASO,9,6,0,1,0,5,0,16,0,N/A,3.47,722441227
297,MAKUENI,Mbooni East,Kalawa,Mbooni,kalawa/katangini,Miangeni,-1.832486,37.824209,Mixed,3128,18346206,CGXG,Catholic,3.24 Ha,Secondary,Public,Public,Registered,,Day&Boarding,Regular,88,83,171,4,2,0,0,2,1,6,3,9,"SCDE, SCQASO, SCTSE Director",9,4,0,1,0,6,0,6,0,N/A,2.97,726486905
298,MAKUENI,Mbooni East,WAIA,Mbooni,WAIA/KAKO,WAMBITI,-1.642178,37.634779,Mixed,3142,18346111,TQ98,AIC,2.92,Secondary,Public,Public,Registered,,DAY,Regular,50,32,82,5,2,0,0,0,2,7,2,9,KESSHA,5,4,0,0,0,5,0,5,0,,3.5,0721696136
299,MAKUENI,Mbooni East,KALAWA,Mbooni,KALAWA,KAVUMBU,-1.581509,37.742157,Mixed,3131,18346207,QAZG,Catholic,3.2,Secondary,Public,Public,Registered,,DAY,Regular,91,102,193,5,3,0,0,2,0,8,2,10,CS0,10,7,0,0,0,6,0,6,0,,3.88,0726388227
302,MAKUENI,KILUNGU,ILIMA,KAITI,ILIMA,NDOLO BOYS,-1.842075,37.423825,Boys,3068,18336202,DWEA,,1.26 Ha,Secondary,County,Public,Registered,,Boarding,Regular,429,0,429,10,3,0,0,2,1,13,3,16,MOE/TSC,11,8,0,1,0,17,0,0,0,N/A,,0724385466
303,MAKUENI,KILUNGU,ILIMA,KAITI,ILIMA,KATIKOMU,-1.85469,37.381905,Mixed,3169,18336203,R6XM,,0.47 Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Intergrated,139,128,267,6,3,0,0,5,1,9,6,15,NIL,7,6,0,1,0,10,0,10,0,N/A,,0721666133
304,MAKUENI,KILUNGU,ILIMA,KAITI,ILIMA,KYAMUOSO CENTRAL,-1.832616,37.442808,Mixed,3227,18336207,Y5BJ,,1.2 Ha,Secondary,Sub County,Public,Registered,,Day,Intergrated,115,168,283,5,3,0,0,2,1,8,3,11,NIL,5,7,0,1,0,5,0,6,0,N/A,,0712864434
305,MAKUENI,KILUNGU,ILIMA,KAITI,ILIMA,AIC MUMBUNI,0,0,Mixed,3381,18336210,E9G5,,0.34 Ha,Secondary,Sub County,Public,Registered,,Day,Regular,30,40,70,5,0,0,0,1,1,5,2,7,NIL,4,4,0,1,0,2,0,2,0,N/A,,0705924220
306,MAKUENI,KILUNGU,ILIMA,KAITI,ILIMA,ST MONICA WAUTU,-1.864361,37.39914,Mixed,3372,18336209,EABJ,,2.1 Ha,Secondary,Sub County,Public,Registered,,Day,Regular,45,61,106,4,2,0,0,0,0,6,0,6,MOE/TSC,2,4,0,1,0,2,0,3,0,N/A,,0722176799
307,MAKUENI,KILUNGU,NUNGUNI,KAITI,KILUNGU,AIC KISYULYA,-1.763859,37.36323,Mixed,3295,18336112,NU95,,5 Acres,Secondary,Sub County,Public,Registered,,Day ,Regular,181,178,359,6,2,0,0,7,1,8,8,16,MOE,7,8,0,0,0,8,0,8,0,N/A,,0727661151
308,MAKUENI,KILUNGU,NUNGUNI,KAITI,KIKOKO,KILUNGU BOYS,-1.797885,37.358307,Boys,3008,18336103,YBYY,,8.5 Ha,Secondary,County,Public,Registered,,Boarding,Regular,145,0,145,17,8,0,0,5,0,25,5,30,"CQASO,SCDE",18,16,0,4,0,20,0,0,0,N/A,,0726580448
309,MAKUENI,KILUNGU,KILUNGU,KAITI,KILUNGU,AIC NUNGUNI,-1.793614,37.364931,Mixed,3137,18336109,5AJH,,1.554 Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,235,285,520,4,13,0,0,5,1,17,5,22,"CSO,KNEC,QASO",16,11,1,2,0,6,0,10,0,N/A,,0723932517
310,MAKUENI,KILUNGU,NUNGUNI,kaiti,kikoko,ack kithangathini,-1.489745,37.38012,mixed,3035,18336105,45p2,,2,secondary,public,public,registered,,day and boarding,regular,109,134,243,6,4,0,0,1,0,10,1,11,MOE,1,8,0,2,0,5,0,5,0,N/A,,717639483
311,MAKUENI,KILUNGU,NUNGUNI,kaiti,kilungu,ack johns kisekini,-1.813925,37.379623,mixed,3303,18336114,4BYQ,,1.25,secondary,public,public,registered,,day ,regular,76,104,180,5,5,0,0,1,0,10,1,11,"cqaso,scde",1,4,0,1,0,8,0,4,0,N/A,,722251240
312,MAKUENI,KILUNGU,NUNGUNI,kaiti,kithembe,ikalyoni,-1.761359,37.378767,mixed,3052,18336110,FC3L,,1,secondary,public,public,registered,,day and boarding,regular,81,148,229,12,2,0,0,1,1,14,2,16,"cso,qaso,tsc,bom",2,9,0,3,0,10,0,12,0,N/A,,721029860
313,MAKUENI,KILUNGU,NUNGUNI,kaiti,kithembe,st lucia girls,-1.793248,37.363638,girls,3024,18336104,E5YP,,4,secondary,public,public,registered,,boarding,regular,0,436,436,7,7,0,0,3,2,14,5,19,"qaso,tsc,knec",5,9,0,2,0,0,0,22,0,N/A,,729858469
314,MAKUENI,KILUNGU,NUNGUNI,kaiti,kilungu,katulye s.a,-1.789098,37.381783,mixed,3091,18336107,5HR3,,1.2,secondary,public,public,registered,,day,regular,110,126,236,4,3,0,0,2,1,7,3,10,"qaso,tsc,knec",3,4,0,1,0,6,0,11,0,N/A,,721846101
316,MAKUENI,KILUNGU,KILUNGU,Kaiti,Kilungu,St. Thomas Aquinas Thomeandu,-1.799566,37.396119,Boys,3006,18336102,ALYV,,5.6 Ha,secondary,Public,Public,,,Boarding,Regular,500,0,500,8,7,0,0,5,0,15,5,20,"SC, SC, MOE",15,10,2,3,0,30,0,0,0,N/A,,716722169
317,MAKUENI,KILUNGU,KILUNGU,Kaiti,ILIMA,St. Stephen Musalala,-1.772896,37.404997,Mixed,3323,18336113,QDRY,,3 Ha,Secondary,Public,Public,,,Day&Boarding,Regular,194,188,382,6,5,0,0,3,4,11,7,18,"SCDE, SCDE/CDE/QASO, CDE/ SCDE, SCDE, SCDE/TSC",8,8,1,1,0,8,0,8,0,N/A,,712336821
318,MAKUENI,KILUNGU,KILUNGU,Kaiti,ILIMA,AIC Kavatanzou,-1.789432,37.430735,Mixed,3220,18336111,LBMH,,0.25 Ha,Secondary,Public,Public,,,Day&Boarding,Regular,110,141,251,3,4,0,0,3,3,7,6,13,"MOE/TSC, MOE/TSC, CDE/SCDE, SCDE",4,6,0,1,0,9,0,9,0,N/A,,722868690
319,MAKUENI,KILUNGU,KILUNGU,Kaiti,ILIMA,Precious Blood Kilungu,-1.808042,37.396347,Girls,3003,18336101,G9D5,,21.5 Ha,Secondary,Public,Public,,,Boarding,Regular,0,790,790,10,12,0,0,7,2,22,9,31,SCQASO,20,15,0,5,0,0,0,54,0,N/A,,714050446
320,MAKUENI,KILUNGU,KILUNGU,Kaiti,ILIMA,St. Patrick's Kyamatheka,-1.801219,37.423957,Mixed,3090,18336108,2V3A,,1.2 Ha,Secondary,Public,Public,,,Day,Regular,67,80,147,4,2,0,0,3,1,6,4,10,"CDE, SCDE, CDE/SCDE, SCDE",7,4,0,1,0,4,0,8,0,N/A,,721666763
321,MAKUENI,KILUNGU,KILUNGU,Kaiti,ILIMA,Inyokoni,-1.786573,37.405228,Mixed,3061,18336106,JLM5,,2.9 Ha,Secondary,Public,Public,,,Day&Boarding,Regular,140,200,340,9,2,0,0,2,1,11,3,14,"SDE, SCDE, CDE/SCDE, SCDE",12,8,0,3,0,15,0,15,0,N/A,,722908539
322,MAKUENI,KILUNGU,ILIMA,Kaiti,ILIMA,Isovya,-1.810927,37.435663,Mixed,3087,18336201,EXLA,,5.6 Ha,Secondary,Public,Public,,,Day&Boarding,Regular,288,299,587,12,3,0,0,1,3,15,4,19,,9,9,0,3,0,8,0,14,0,N/A,,724463822
323,MAKUENI,KILUNGU,ILIMA,Kaiti,ILIMA,Aic Mwaani-Ilima,-1.858822,37.453938,Mixed,3213,18336204,42PU,,2 Ha,Secondary,Public,Public,,,Day&Boarding,Regular,204,314,518,7,4,0,0,5,4,11,9,20,,10,10,0,1,0,14,0,12,0,N/A,,728322363
324,MAKUENI,KILUNGU,ILIMA,Kaiti,ILIMA,Kyakatoni,-1.879922,37.428078,Mixed,3334,18336208,BWUR,,1.5Ha,Secondary,Public,Public,,,Day,Regular,119,114,233,3,3,0,0,3,2,6,5,11,,5,4,0,0,0,4,0,6,0,N/A,,714095077
325,MAKUENI,KATHONZWENI,Mavindini,Makueni,Mavindini,AIC Mavindini Boys Secondary,-1.83303,37.78643,Boys,3072,18335301,274A,AIC,5.34,Secondary,Public,Public,Registered,,Boarding,Regular,50,0,50,5,8,0,0,1,1,13,2,15,"SCD,TSC-CD,CSO,QASOs,SCHRO,KMOC and SCQASO",11,8,0,2,0,24,0,0,0,N/A,5.02,0729094998
326,MAKUENI,KATHONZWENI,Kitise,Makueni,Kathonzweni,ACK Kiteei Secondary,-2.08474,37.9928,Mixed,3250,18335406,4VRC,ACK,6.7,Secondary,Public,Public,Registered,,Both,Regular,16,7,23,6,4,0,0,1,0,,1,11,"CSO,CQASO,MOE and Mentors and consellors",6,4,0,1,0,10,0,4,0,N/A,3.173,0714439290
327,MAKUENI,KATHONZWENI,Kitise,Makueni,Kitise/Kithuki,ACK St. Joseph Mauu Eli,-2.093573,37.906482,Mixed,3210,18335404,8LKS,ACK,10,Secondary,Public,Public,Registered,,Both,Regular,48,57,105,9,5,0,0,1,1,14,2,16,"SCDDE office,SCD-TSC and SCOE",12,8,0,1,0,10,0,12,0,N/A,5.26,0712246858
328,MAKUENI,KATHONZWENI,Kathonzweni,Makueni,Kathonzweni,Thavu Mixed Sec School,-1.9061,37.7769,Mixed,3288,18335211,5GU2,Catholic,3.18,Secondary,Public,Public,Registered,,Day,Regular,13,15,28,4,1,0,0,1,3,5,4,9,"Education Directors,KSSHA and KNEC",4,4,0,0,0,1,0,1,0,N/A,2.6,0725266676
329,MAKUENI,KATHONZWENI,Mavindini,Makueni,Mavindini,AIC Mavindini Girls Secondary,-1.830972,37.786907,Girls,N/A,18335309,E9FF,AIC,2.43,Secondary,Public,Public,Registered,,Boarding,Regular,0,69,69,2,3,0,0,0,3,5,3,8,SQASO and SCDE,6,7,0,0,0,0,0,6,0,N/A,4.44,0727643661
330,MAKUENI,KATHONZWENI,Kithuki,Makueni,Mavindini,Iaani Secondary,-2.645135,38.025757,Mixed,3266,18335107,GUPT,CATHOLIC,3,Secondary,Public,Public,Registered,,Day,Regular,19,25,44,3,2,0,0,3,1,5,4,9,SQASO ,4,4,0,1,0,8,0,8,0,N/A,3.19,0720879721
331,MAKUENI,KATHONZWENI,Kathonzweni,Makueni,Kathonzweni,Kyaasya Secondary,-1.042434,42.788118,Mixed,3098,18335203,JBRS,CATHOLIC,,Secondary,Public,Public,Registered,,Both,Regular,16,14,30,4,4,0,0,1,1,8,2,10,"Experts, SCQASO, CQASO, SCDE and TSC-SCD",8,5,0,1,0,4,0,6,0,N/A,3.25,0726848965
332,MAKUENI,KATHONZWENI,Kitise,Makueni,Kathonzweni,Kanthiitu Mixed Day ,-1.5975435,37.4736629,Mixed,3325,18335409,FTSW,CATHOLIC,1.85,Secondary,Public,Public,Registered,,Both,Regular,24,16,40,4,1,0,0,1,2,5,3,8,"CQASO/MOE, DQASO.TSC-SCDE and KNEC Examiners",6,5,0,1,0,5,0,5,0,N/A,2.94,0727860357
333,MAKUENI,KATHONZWENI,Mavindini,Makueni,Mavindini,Kanthuni,-1.88548251,37.83801761,Mixed,3124,18335302,7548,CATHOLIC,1.8ha,Secondary,Public,Public,Registered,,Both,Regular,16,20,36,4,4,0,0,2,0,8,2,10,"QASO, CSO,SCDE and SCD-TSC",8,8,0,2,0,8,0,8,0,N/A,2.74,0720809271
334,MAKUENI,KATHONZWENI,Mavindini,Makueni,Mavindini,St. Stephen Kanyonga,-1.8523,37.84286,Mixed,3247,18335305,PAZV,CATHOLIC,2.27ha,Secondary,Public,Public,Registered,,Day,Regular,18,21,39,4,1,0,0,2,2,5,4,9,"DQASO,TSC",6,4,0,1,0,3,0,8,0,N/A,3.12,0721653805
335,MAKUENI,KATHONZWENI,Kithuki,Makueni,Kitise/Kithuki,Kanzoekeani Secondary,-1.924749,37.798298,Mixed,3055,18335101,VCRL,CATHOLIC,7,Secondary,Public,Public,Registered,,Both,Regular,36,26,63,9,3,0,0,1,1,12,2,14,"Sub QASO, KEMI and TSC",10,8,0,1,0,16,0,13,0,N/A,2.62,0717117429
336,MAKUENI,KATHONZWENI,Kitise,Makueni,Kitise/Kithuki,Katangini,-2.04628,37.91261,Mixed,3299,18335408,QT38,CATHOLIC,13ha,Secondary,Public,Public,Registered,,Both,Regular,49,28,56,4,2,0,0,4,1,6,5,11,Sub County office,5,8,0,1,0,12,0,11,0,N/A,2.9,0722550660
337,MAKUENI,KATHONZWENI,Kathonzweni,Makueni,Kathonzweni,Kathamboni,-1.90975,37.7728,Mixed,3200,18335204,JHUU,CATHOLIC,2.04,Secondary,Public,Public,Registered,,Both,Regular,29,33,62,6,8,0,0,1,2,14,3,17,"County Edu,Subcounty MOE and MOE",9,8,0,1,0,6,0,15,0,N/A,4.83,0722299804
338,MAKUENI,KATHONZWENI,Kathonzweni,Makueni,Kathonzweni,Kathonzweni Girls,-1.924583,37.702771,Girls,3227,18335208,EGSX,CATHOLIC,3,Secondary,Public,Public,Registered,,Boarding,Regular,0,42,42,5,6,0,0,2,5,11,7,18,"MOE, TSC and KNEC",10,8,0,1,0,0,0,13,0,N/A,5.746,0712601445
339,MAKUENI,KATHONZWENI,Mavindini,Makueni,Mavindini,Katithi,-1.801701,37.818385,Mixed,3286,18335306,6MG3,CATHOLIC,8,Secondary,Public,Public,Registered,,Both,Regular,16,10,26,4,1,0,0,2,1,5,3,8,"QASO Officer,Health Officer and TSC officers",4,4,0,1,0,8,0,12,0,N/A,2.73,0728532838
340,MAKUENI,KATHONZWENI,Kathonzweni,Makueni,Kathonzweni,Kavingoni Secondary,-1.958114,37.6835158,Mixed,3151,18335202,V6BU,CATHOLIC,7.71,Secondary,Public,Public,Registered,,Both,Regular,43,42,85,10,1,0,0,3,0,11,3,14,"SCQASO, TSC Sub-County director",13,10,0,1,0,12,0,16,0,N/A,4.95,0710415671
341,MAKUENI,KATHONZWENI,Kitise,Makueni,Kitise/Kithuki,Kitise Secondary,-2.059356,37.880173,Mixed,3054,18335402,RD7F,CATHOLIC,6.2,Secondary,Public,Public,Registered,,Both,Regular,58,67,125,14,7,0,0,4,1,21,5,26,"MOE, MOH",14,12,0,2,0,20,0,16,0,N/A,4.37,0713487409
342,MAKUENI,KATHONZWENI,Kithuki,Makueni,Kitise/Kithuki,Kiuuku Secondary,-1.967334,37.815599,Mixed,3243,18335106,ECXK,CATHOLIC,2.3,Secondary,Public,Public,Registered,,Both,Regular,51,50,101,8,4,0,0,0,2,12,2,14,DQASO,10,1,0,1,0,15,0,15,0,N/A,3.744,0711485155
343,MAKUENI,KATHONZWENI,,Makueni,Kathonzweni,Kwakavisi Mixed ,-1.977042,37.705699,Mixed,3320,18335210,ERQY,CATHOLIC,2.3,Secondary,Public,Public,Registered,,Day,Regular,7,8,15,3,2,0,0,4,1,5,5,10,"PAD- TSC, KSSHA , MOE and TSC",4,4,0,0,0,2,0,7,0,N/A,2.21,0723821075
344,MAKUENI,KATHONZWENI,Kithuki,Makueni,Kitise/Kithuki,Kyase Secondary,-1.8922,37.9127,Mixed,3341,18335108,3NA2,CATHOLIC,0.81,Secondary,Public,Public,Registered,,Both,Regular,15,11,26,7,0,0,0,2,1,7,3,10,"TSC, MOE and Examiners",4,4,0,1,0,7,0,12,0,N/A,3.57,0707312020
345,MAKUENI,KATHONZWENI,Kithuki,Makueni,Kitise/Kithuki,Matheani Secondary School,-2.002378,37.903431,Mixed,3206,18335104,GW2K,CATHOLIC,4.03,Secondary,Public,Public,Registered,,Both,Regular,22,20,42,6,2,0,0,1,1,8,2,10,"Sub-County QASO, TSC, Ministry, KSSHA and TSC",6,5,0,1,0,13,0,11,0,N/A,3.31,0715223117
346,MAKUENI,KATHONZWENI,Kitise,Makueni,Kathonzweni/Mbuvo,Mbuvo Secondary,-2.012685,37.764109,Mixed,3199,18335403,VQ4G,CATHOLIC,3.13ha,Secondary,Public,Public,Registered,,Both,Regular,80,64,144,9,6,0,0,3,3,15,6,21,"SCDE, SCQASO, National, TSC-CD and TSC-SCDE-HR",12,12,0,2,0,16,0,16,0,N/A,4.8,0715987073
347,MAKUENI,KATHONZWENI,Kitise,Makueni,Kitise,Munathi Secondary School,-2.04035,37.804,Mixed,3293,18335405,Z8B7,CATHOLIC,8.5,Secondary,Public,Public,Registered,,Day,Regular,9,8,17,3,2,0,0,2,0,5,2,7,"QASO, MOE, TSC , MOE , TSC and KSSHA",3,4,0,1,0,4,0,12,0,N/A,2.28,0702420921
348,MAKUENI,KATHONZWENI,Mavindini,Makueni,Mavindini,Muusini,-1.8589,37.7204,Mixed,3069,18335304,CEGF,CATHOLIC,6,Secondary,Public,Public,Registered,,Both,Regular,23,15,38,7,2,0,0,0,0,9,0,9,"DQASO, TSC officials",7,6,0,1,0,10,0,6,0,N/A,3.83,0725081462
349,MAKUENI,KATHONZWENI,Kathonzweni,Makueni,Kathonzweni,St. Augustine Itumbule,-1.921491,37.701457,Mixed,3171,18335206,STVH,CATHOLIC,1.89,Secondary,Public,Public,Registered,,Day,Regular,31,35,66,5,2,0,0,2,4,7,6,13,"QASO, TSC, Publishers and Public Health",6,7,0,1,0,10,0,10,0,N/A,3.069,0712065056
350,MAKUENI,KATHONZWENI,Kitise,Makueni,Kathonzweni,St. Bakhita Girls Kiangini,-2.06667,37.7667,Girls,3060,18335401,JPJL,CATHOLIC,5.608ha,Secondary,Public,Public,Registered,,Boarding,Regular,0,143,143,16,5,0,0,2,3,21,5,26,"CEMASTIA, SQASO and Human Resource",18,12,0,2,0,0,0,52,0,N/A,5.29,710415671
351,MAKUENI,KATHONZWENI,Kitise,Makueni,Kitise/Kithuki,St. Francis Manzani ,-2.091362,37.851337,Mixed,3378,18335410,E9ZH,CATHOLIC,6.125,Secondary,Public,Public,Registered,,Both,Regular,9,8,17,4,3,0,0,0,0,7,0,7,"SCQASO, KEMI, KNEC, Mentors and Expert Coaches",6,4,0,1,0,2,0,5,0,N/A,3.42,0729463073
352,MAKUENI,KATHONZWENI,Kathonzweni,Makueni,Kathonzweni,St. Ignatius Mathemba,-1.008319,37.95332,Mixed,3136,18335209,Q8HQ,CATHOLIC,2.29,Secondary,Public,Public,Registered,,Both,Regular,29,36,65,5,4,0,0,1,0,9,1,10,"SCQUASO,TSC and MOE",5,4,0,1,0,6,0,12,0,N/A,3.07,0726958536
353,MAKUENI,KATHONZWENI,Kathonzweni,Makueni,Kathonzweni,St. Toseph Ikaasu,-1.96718,37.7335517,Mixed,3157,18335205,NYWK,CATHOLIC,1.44,Secondary,Public,Public,Registered,,Both,Regular,30,43,73,6,5,0,0,1,3,11,4,15,"County Govt, MOE TSC and MOE TSC",8,7,0,1,0,3,0,6,0,N/A,3.67,0729826339
354,MAKUENI,KATHONZWENI,Mavindini,Makueni,Mavindini,St. Joseph Kitumbai,-1.802589,37.770266,Mixed,3315,18335307,CFLN,CATHOLIC,1.819,Secondary,Public,Public,Registered,,Day,Regular,20,18,38,4,2,0,0,4,0,6,4,10,TSC Officers and DQASO,3,5,0,1,0,3,0,3,0,N/A,2.98,714125446
355,MAKUENI,KATHONZWENI,Mavindini,Makueni,Mavindini,St. Jude,-1.89864,37,Girls,3313,18335308,VGF9,CATHOLIC,2.33,Secondary,Public,Public,Registered,,Boarding,Regular,0,67,67,2,9,0,0,4,2,11,6,17,"TSC-SCD, DHRO, SCQASO, CSO and Assement Team",10,8,0,1,0,0,0,20,0,N/A,4.47,718769034
356,MAKUENI,KATHONZWENI,Kathonzweni,Makueni,Kathonzweni,St. Martin Kathonzweni,-1.911819,37.730728,Boys,3015,18335201,RWSX,CATHOLIC,16.5,Secondary,Public,Public,Registered,,Boarding,Regular,187,0,187,19,10,0,0,5,4,29,9,38,County School Adult and SCQAO,20,16,0,5,0,35,0,0,0,N/A,5.63,721281855
357,MAKUENI,KATHONZWENI,Kitise,Makueni,Kathonzweni,St Mary's Kyunyu,-1.911726,37.731231,Mixed,3356,18335411,CLXF,CATHOLIC,2.83,Secondary,Public,Public,Registered,,Both,Regular,18,30,48,4,2,0,0,0,5,6,5,11,SCQASO TSC and MOE,6,7,0,0,0,5,0,4,0,N/A,2.98,725311503
358,MAKUENI,KATHONZWENI,Kitise,Makueni,Kitise/Kithuki,St. Peter Athiani,-2.11544,37.932465,Mixed,3273,18335407,D4Q4,CATHOLIC,1.66,Secondary,Public,Public,Registered,,Day,Regular,7,15,22,4,2,0,0,2,1,6,3,9,SCQASO,4,4,0,1,0,3,0,3,0,N/A,2.58,712708704
359,MAKUENI,KATHONZWENI,Kithuki,Makueni,Kitise/Kithuki,St. Peter Claver- Kithuki,-1.990214,37.855346,Mixed,3053,18335053,APQQ,CATHOLIC,9,Secondary,Public,Public,Registered,,Both,Integrated,89,59,148,14,9,0,0,4,0,23,4,27,,10,12,0,2,0,18,0,9,0,N/A,3.9,722452492
360,MAKUENI,KATHONZWENI,Mavindini,Makueni,Kathonzweni,Yemulwa,-1.06164,37.45312,Mixed,3148,18335303,FMM6,ACK,5,Secondary,Public,Public,Registered,,Both,Regular,14,17,31,8,1,0,0,0,0,9,0,9,SCQASO and TSC officers,7,7,0,1,0,8,0,10,0,N/A,3,727075913
361,MAKUENI,KATHONZWENI,Kithuki,Makueni,Mavindini,Yekanga Secondary School,-1.91679,37.8387,Mixed,3264,18335105,YKJP,ACK,1.14,Secondary,Public,Public,Registered,,Both,Regular,32,32,64,5,2,0,0,1,0,7,1,8,"Sub county office,QASO and Ministry of health",5,4,0,1,0,8,0,8,0,N/A,2.85,720991330
362,MAKUENI,KATHONZWENI,Kithuki,Makueni,Kithuki/Kitise,Yinthungu Secondary School,-1.961609,37.859124,Mixed,3232,18335103,PU78,CATHOLIC,3.59,Secondary,Public,Public,Registered,,Both,Regular,15,14,29,4,5,0,0,1,1,9,2,11,SQASO,6,4,0,2,0,9,0,4,0,N/A,2.72,726671386
364,MAKUENI,NZAUI,Matiliku,Makueni,Kilili/Kalamba, Kwakukui Mixed,-1.985926,37.558074,Mixed,14701-17-3240,18324314,DTG5,GNCA CHURCH,3,Secondary,Public,Public,Registered,,Day,Regular,22,15,37,4,3,0,0,1,0,7,1,8,"Cso,Stde",2,4,0,3,0,8,0,4,0,N/A,2.4194,728492494
365,MAKUENI,NZAUI,Kyemundu,Makueni,Mbitini,ABC Kulumbi,0,0,Mixed,1.47014E+11,18324222,3GU5,ABC CHURCH,10,Secondary,Public,Public,Registered,,Day and boarding,Regular,29,28,57,4,2,0,0,2,1,6,3,9,"Tsc,Moe,Kssha",4,4,0,1,0,8,0,5,0,N/A,4.0556,711379338
366,MAKUENI,NZAUI,MUTYAMBUA,Makueni,Mbitini,Barazani girls,-1.942343,37.436835,Girls,3038,18324206,U6HW,AIC CHURCH,4,Secondary,Public,Public,Registered,,Boarding,Regular,0,164,164,10,8,0,0,8,5,18,13,31,"Cqaso,Moe",13,11,0,2,0,0,0,18,0,N/A,5.931,712155880
367,MAKUENI,NZAUI,Mulala,Kibwezi west,Mulala/Emali,Email township,-2.083688,37.477893,Mixed,3282,18324224,UCFR,Ceb,9.6,Secondary,Public,Public,Registered,,Day and boarding,Regular,27,26,53,3,8,0,0,2,0,11,2,13,Moe,2,8,0,1,0,5,0,8,0,N/A,4.0555,0700586403
